Facets,Cleaned_Facet,Category,Description,Weight,Prompt_Template
Risktaking,Risktaking,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Risktaking.",1.0,"Rate how strongly the text exhibits 'Risktaking' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Risktaking.)"
Naivety,Naivety,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Naivety.",1.0,"Rate how strongly the text exhibits 'Naivety' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Naivety.)"
Acidity,Acidity,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Acidity.",1.0,"Rate how strongly the text exhibits 'Acidity' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Acidity.)"
Democratic Leadership:,Democratic Leadership,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Democratic Leadership.",1.0,"Rate how strongly the text exhibits 'Democratic Leadership' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Democratic Leadership.)"
Common-sense,Common-sense,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Common-sense.",1.0,"Rate how strongly the text exhibits 'Common-sense' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Common-sense.)"
Hesitation,Hesitation,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Hesitation.",1.0,"Rate how strongly the text exhibits 'Hesitation' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Hesitation.)"
Discontentment,Discontentment,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Discontentment.",1.0,"Rate how strongly the text exhibits 'Discontentment' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Discontentment.)"
Overprotectiveness,Overprotectiveness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Overprotectiveness.",1.0,"Rate how strongly the text exhibits 'Overprotectiveness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Overprotectiveness.)"
Merriness,Merriness,Emotion,"Measures the presence, intensity, and nuance of emotion related to Merriness.",1.0,"Rate how strongly the text exhibits 'Merriness' (Measures the presence, intensity, and nuance of emotion related to Merriness.)"
Emotionalism,Emotionalism,Emotion,"Measures the presence, intensity, and nuance of emotion related to Emotionalism.",1.0,"Rate how strongly the text exhibits 'Emotionalism' (Measures the presence, intensity, and nuance of emotion related to Emotionalism.)"
Self-improvement,Self-improvement,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Self-improvement.",1.0,"Rate how strongly the text exhibits 'Self-improvement' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Self-improvement.)"
Statistical Reasoning,Statistical Reasoning,Cognitive & Analytical,"Assesses logical coherence, analytical reasoning, and structured processing associated with Statistical Reasoning.",1.0,"Rate how strongly the text exhibits 'Statistical Reasoning' (Assesses logical coherence, analytical reasoning, and structured processing associated with Statistical Reasoning.)"
Assertiveness and control in relationships,Assertiveness and control in relationships,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Assertiveness and control in relationships.",1.0,"Rate how strongly the text exhibits 'Assertiveness and control in relationships' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Assertiveness and control in relationships.)"
Cunningness,Cunningness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Cunningness.",1.0,"Rate how strongly the text exhibits 'Cunningness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Cunningness.)"
Adventure-Seeking Behavior,Adventure-Seeking Behavior,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Adventure-Seeking Behavior.",1.0,"Rate how strongly the text exhibits 'Adventure-Seeking Behavior' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Adventure-Seeking Behavior.)"
